Player,Goals,Season
A,1,2020
A,2,2020
B,5,2020
B,6,2020
A,1,2021
A,2,2021
B,5,2021
B,6,2021
A,1,2022
A,2,2022
B,5,2022
B,6,2022
,,
,,
,,
Discrimination computation,,
Var of A in 2020,0.5,
Var of B in 2020,0.5,
Avg player var In 2020,0.5,
Overall var in 2020,5.67,
Discrimination in 2020,0.91,
,,
Var of A in 2021,0.5,
Var of B in 2021,0.5,
Avg player var In 2021,0.5,
Overall var in 2021,5.67,
Discrimination in 2021,0.91,
,,
Var of A in 2022,0.5,
Var of B in 2022,0.5,
Avg player var In 2022,0.5,
Overall var in 2022,5.67,
Discrimination in 2022,0.91,
,,
Average Discrimination,0.91,
,,
,,
Stability computation,,
Var of A,0.3,
Var of B,0.3,
E_m[V_{pm}[X],0.3,
E_m[V_{spm}[X]],0.5,
V_{m}[X],4.64,
Stability,-0.05,
