,2018,2019,2020,2021,2022,2023,stability
Dribbling,0.05657055559073709,0.0492899587152249,0.09703728207898432,0.1071479212581854,0.1261370309423795,0.04837241228522904,0.04146920905287865
xpass_completion_percentage,0.4767380868292802,0.4389458520371189,0.43480172363364533,0.42751631630067466,0.434306673045896,0.47511243215076215,0.6220987793613352
Passing,0.21005097391573746,0.17189805077827924,0.1900293991781966,0.18256864912570014,0.18151713300563443,0.20418163086697128,0.41238772261097467
attempted_passes,0.5601631629122403,0.5340052995670445,0.52845856574537,0.5472974902573993,0.4978993289064154,0.5368527366721814,0.7618125820859454
Interrupting,0.18181112135771893,0.14456442458949004,0.10423538773396412,0.07628983647644583,0.1175927155228127,0.18254397233331088,0.3068642647521207
Shooting,0.13842464807439792,0.10481302033810014,0.12906253851523675,0.12914539252192048,0.10777263599782583,0.09448209868810109,0.13863736572240204
Receiving,0.2170612751803993,0.17512726885590946,0.19612304216475818,0.22297553511149193,0.20085564266792855,0.18619377887850375,0.38223919799302863
goals_added_total,0.193390349377906,0.1212117524374654,0.170340210350576,0.17985906486475267,0.16285404767194578,0.13423918898129672,0.4252287419025199
xassists,0.24638910044943096,0.24736069803323324,0.20059627161789828,0.1674986326305382,0.2357703058752385,0.21700449104068276,0.478102621041282
Fouling,0.11052306108249643,0.08464827111840123,0.10219650200481067,0.03456691918415811,0.024857841041503348,0.1485499190520494,0.06800458596385184
xgoals,0.26795648932132343,0.18051378609583124,0.24170420278763682,0.20939076292994963,0.2296234111714317,0.2092132736645992,0.44218407349690925
